_data,_check_fields,timestamp
100.0,False,1764923193991008508
100.0,False,1764923194010646591
100.0,False,1764923194031101026
100.0,False,1764923194050787260
100.0,False,1764923194070898398
100.0,False,1764923194090786262
100.0,False,1764923194110749214
100.0,False,1764923194131028293
100.0,False,1764923194150700178
100.0,False,1764923194170680497
100.0,False,1764923194190705962
100.0,False,1764923194210721794
100.0,False,1764923194231247566
100.0,False,1764923194251080826
100.0,False,1764923194270895516
100.0,False,1764923194290924490
100.0,False,1764923194310999595
100.0,False,1764923194330798016
100.0,False,1764923194350930187
100.0,False,1764923194370720279
100.0,False,1764923194390740315
100.0,False,1764923194410715652
100.0,False,1764923194430993853
100.0,False,1764923194450826430
100.0,False,1764923194470828594
100.0,False,1764923194490719844
100.0,False,1764923194510802913
100.0,False,1764923194531234721
100.0,False,1764923194551068690
100.0,False,1764923194570994927
100.0,False,1764923194590820804
100.0,False,1764923194610794036
100.0,False,1764923194630971454
100.0,False,1764923194650898497
100.0,False,1764923194670812733
100.0,False,1764923194690789034
100.0,False,1764923194710764647
100.0,False,1764923194730768696
100.0,False,1764923194751004387
100.0,False,1764923194770657425
100.0,False,1764923194790919038
100.0,False,1764923194810755252
100.0,False,1764923194830727129
100.0,False,1764923194850764137
100.0,False,1764923194870962570
100.0,False,1764923194890630660
100.0,False,1764923194910799823
100.0,False,1764923194930959557
100.0,False,1764923194950836667
100.0,False,1764923194970686390
100.0,False,1764923194990738669
100.0,False,1764923195010842983
100.0,False,1764923195031103449
100.0,False,1764923195051079190
100.0,False,1764923195070775865
100.0,False,1764923195090833081
100.0,False,1764923195110697276
100.0,False,1764923195131452757
100.0,False,1764923195151150569
100.0,False,1764923195170702867
100.0,False,1764923195190653778
100.0,False,1764923195210643974
100.0,False,1764923195230868625
100.0,False,1764923195250792296
100.0,False,1764923195270812197
100.0,False,1764923195290727520
100.0,False,1764923195310804023
100.0,False,1764923195330859159
100.0,False,1764923195350873346
100.0,False,1764923195370635193
100.0,False,1764923195390745757
100.0,False,1764923195410678338
100.0,False,1764923195430719696
100.0,False,1764923195450901919
100.0,False,1764923195470752714
100.0,False,1764923195490644910
100.0,False,1764923195510873383
100.0,False,1764923195530713628
100.0,False,1764923195550744304
100.0,False,1764923195570698910
100.0,False,1764923195590965687
100.0,False,1764923195610766678
100.0,False,1764923195630885891
100.0,False,1764923195650917295
100.0,False,1764923195670710601
100.0,False,1764923195690614488
100.0,False,1764923195710646023
100.0,False,1764923195730729162
100.0,False,1764923195751368973
100.0,False,1764923195770784414
100.0,False,1764923195790754936
100.0,False,1764923195810713032
100.0,False,1764923195831112708
100.0,False,1764923195851161441
100.0,False,1764923195870778426
100.0,False,1764923195890764194
100.0,False,1764923195910782155
100.0,False,1764923195930821141
100.0,False,1764923195950696180
100.0,False,1764923195970937931
100.0,False,1764923195990734537
100.0,False,1764923196010702065
100.0,False,1764923196030796458
100.0,False,1764923196051044586
100.0,False,1764923196070975510
100.0,False,1764923196090809880
100.0,False,1764923196110635445
100.0,False,1764923196130682209
100.0,False,1764923196150797139
100.0,False,1764923196170756494
100.0,False,1764923196190847326
100.0,False,1764923196211296222
100.0,False,1764923196230893407
100.0,False,1764923196250844716
100.0,False,1764923196271014044
100.0,False,1764923196290705341
100.0,False,1764923196310786538
100.0,False,1764923196331040669
100.0,False,1764923196351182059
100.0,False,1764923196370992811
100.0,False,1764923196390648326
100.0,False,1764923196410764374
100.0,False,1764923196430716832
100.0,False,1764923196450988000
100.0,False,1764923196470969332
100.0,False,1764923196490793582
100.0,False,1764923196510689986
100.0,False,1764923196530787681
100.0,False,1764923196551032004
100.0,False,1764923196570784635
100.0,False,1764923196590742153
100.0,False,1764923196611186022
100.0,False,1764923196630711885
100.0,False,1764923196650938435
100.0,False,1764923196670861677
100.0,False,1764923196690881228
100.0,False,1764923196710774203
100.0,False,1764923196730956577
100.0,False,1764923196751047148
100.0,False,1764923196770887248
100.0,False,1764923196790818667
100.0,False,1764923196810740967
100.0,False,1764923196830776383
100.0,False,1764923196850712929
100.0,False,1764923196871053942
100.0,False,1764923196890841981
100.0,False,1764923196910846497
100.0,False,1764923196930761683
100.0,False,1764923196951124277
100.0,False,1764923196970894027
100.0,False,1764923196990825507
100.0,False,1764923197010980712
100.0,False,1764923197030788984
100.0,False,1764923197051183638
100.0,False,1764923197070691397
100.0,False,1764923197090765170
100.0,False,1764923197110847405
100.0,False,1764923197131108531
100.0,False,1764923197151228391
100.0,False,1764923197170850997
100.0,False,1764923197190745297
100.0,False,1764923197210771694
100.0,False,1764923197230742666
100.0,False,1764923197250985424
100.0,False,1764923197270771226
100.0,False,1764923197291064387
100.0,False,1764923197310823410
100.0,False,1764923197331165882
100.0,False,1764923197350626499
100.0,False,1764923197370655645
100.0,False,1764923197390781653
100.0,False,1764923197410988648
100.0,False,1764923197430708901
100.0,False,1764923197451216052
100.0,False,1764923197470838408
100.0,False,1764923197490972604
100.0,False,1764923197510712459
100.0,False,1764923197530697705
100.0,False,1764923197550764985
100.0,False,1764923197570780173
100.0,False,1764923197590609341
100.0,False,1764923197610711042
100.0,False,1764923197630755049
100.0,False,1764923197650919275
100.0,False,1764923197670785942
100.0,False,1764923197690679432
