time,u_pred,v_pred,r_pred
0.0,0.0,0.0,0.0
0.04008016032064128,0.028418979015145826,0.0,0.0
0.08016032064128256,0.056399974225093685,0.0,0.0
0.12024048096192384,0.08391646700959965,0.0,0.0
0.16032064128256512,0.11094009800924448,0.0,0.0
0.2004008016032064,0.1374495526759571,0.0,0.0
0.24048096192384769,0.16342768594592577,0.0,0.0
0.280561122244489,0.1888589244650516,0.0,0.0
0.32064128256513025,0.2137292665889485,0.0,0.0
0.3607214428857715,0.23802628238294327,0.0,0.0
0.4008016032064128,0.2617391136220755,0.0,0.0
0.4408817635270541,0.28485847379109785,0.0,0.0
0.48096192384769537,0.3073766480844755,0.0,0.0
0.5210420841683366,0.32928749340638686,0.0,0.0
0.561122244488978,0.3505864383707227,0.0,0.0
0.6012024048096192,0.37127048330108714,0.0,0.0
0.6412825651302605,0.3913382002307969,0.0,0.0
0.6813627254509018,0.41078973290288157,0.0,0.0
0.721442885771543,0.4296267967700834,0.0,0.0
0.7615230460921844,0.44785267899485814,0.0,0.0
0.8016032064128256,0.46547223844937347,0.0,0.0
0.8416833667334669,0.4824919057155108,0.0,0.0
0.8817635270541082,0.4989196830848638,0.0,0.0
0.9218436873747494,0.5147651445587391,0.0,0.0
0.9619238476953907,0.5300394358481564,0.0,0.0
1.002004008016032,0.544755274373848,0.0,0.0
1.0420841683366733,0.5589269492662592,0.0,0.0
1.0821643286573146,0.5725703213655482,0.0,0.0
1.122244488977956,0.5857025944589206,0.0,0.0
1.1623246492985972,0.5983364151987998,0.0,0.0
1.2024048096192383,0.61048274973353,0.0,0.0
1.2424849699398797,0.6221535301609565,0.0,0.0
1.282565130260521,0.6333607523088721,0.0,0.0
1.3226452905811623,0.6441164757350171,0.0,0.0
1.3627254509018036,0.6544328237270797,0.0,0.0
1.4028056112224447,0.6643219833026958,0.0,0.0
1.442885771543086,0.6737962052094493,0.0,0.0
1.4829659318637274,0.6828678039248715,0.0,0.0
1.5230460921843687,0.6915491576564414,0.0,0.0
1.56312625250501,0.6998527083415861,0.0,0.0
1.6032064128256511,0.7077909616476802,0.0,0.0
1.6432865731462925,0.7153764869720458,0.0,0.0
1.6833667334669338,0.7226219174419534,0.0,0.0
1.723446893787575,0.7295399499146205,0.0,0.0
1.7635270541082164,0.7361433449772128,0.0,0.0
1.8036072144288577,0.7424449269468434,0.0,0.0
1.8436873747494988,0.7484575838705736,0.0,0.0
1.8837675350701402,0.754194267525412,0.0,0.0
1.9238476953907815,0.759667993418315,0.0,0.0
1.9639278557114228,0.7648918407861869,0.0,0.0
2.004008016032064,0.7698789525958798,0.0,0.0
2.0440881763527052,0.7746425347496713,0.0,0.0
2.0841683366733466,0.7791941972185181,0.0,0.0
2.124248496993988,0.7835412414700225,0.0,0.0
2.164328657314629,0.7876903209598034,0.0,0.0
2.2044088176352705,0.7916480551357826,0.0,0.0
2.244488977955912,0.7954210294381844,0.0,0.0
2.284569138276553,0.7990157952995353,0.0,0.0
2.3246492985971945,0.8024388701446646,0.0,0.0
2.3647294589178354,0.8056967373907042,0.0,0.0
2.4048096192384767,0.8087958464470886,0.0,0.0
2.444889779559118,0.8117426127155545,0.0,0.0
2.4849699398797593,0.8145434175901414,0.0,0.0
2.5250501002004007,0.8172046084571911,0.0,0.0
2.565130260521042,0.8197324986953484,0.0,0.0
2.6052104208416833,0.8221333676755602,0.0,0.0
2.6452905811623246,0.8244134607610761,0.0,0.0
2.685370741482966,0.8265789893074482,0.0,0.0
