_data,_check_fields,timestamp
100.0,False,1764923193990970674
100.0,False,1764923194010629877
100.0,False,1764923194031068822
100.0,False,1764923194050768024
100.0,False,1764923194070863420
100.0,False,1764923194090728848
100.0,False,1764923194110721729
100.0,False,1764923194130982156
100.0,False,1764923194150674942
100.0,False,1764923194170665173
100.0,False,1764923194190691687
100.0,False,1764923194210706664
100.0,False,1764923194231200204
100.0,False,1764923194251055335
100.0,False,1764923194270857259
100.0,False,1764923194290898687
100.0,False,1764923194310962756
100.0,False,1764923194330771589
100.0,False,1764923194350902031
100.0,False,1764923194370694482
100.0,False,1764923194390718171
100.0,False,1764923194410699166
100.0,False,1764923194430960223
100.0,False,1764923194450803692
100.0,False,1764923194470783998
100.0,False,1764923194490690051
100.0,False,1764923194510782372
100.0,False,1764923194531160415
100.0,False,1764923194551031068
100.0,False,1764923194570922204
100.0,False,1764923194590733560
100.0,False,1764923194610775229
100.0,False,1764923194630894167
100.0,False,1764923194650838897
100.0,False,1764923194670762051
100.0,False,1764923194690775284
100.0,False,1764923194710747404
100.0,False,1764923194730750109
100.0,False,1764923194750968944
100.0,False,1764923194770641494
100.0,False,1764923194790898316
100.0,False,1764923194810729717
100.0,False,1764923194830702009
100.0,False,1764923194850743449
100.0,False,1764923194870889094
100.0,False,1764923194890597866
100.0,False,1764923194910782666
100.0,False,1764923194930921600
100.0,False,1764923194950806574
100.0,False,1764923194970669288
100.0,False,1764923194990723442
100.0,False,1764923195010825077
100.0,False,1764923195031049102
100.0,False,1764923195051015418
100.0,False,1764923195070720609
100.0,False,1764923195090795516
100.0,False,1764923195110681025
100.0,False,1764923195131415713
100.0,False,1764923195151121552
100.0,False,1764923195170677632
100.0,False,1764923195190635481
100.0,False,1764923195210626897
100.0,False,1764923195230805310
100.0,False,1764923195250755408
100.0,False,1764923195270789839
100.0,False,1764923195290704959
100.0,False,1764923195310750222
100.0,False,1764923195330842462
100.0,False,1764923195350818951
100.0,False,1764923195370619141
100.0,False,1764923195390703049
100.0,False,1764923195410663841
100.0,False,1764923195430704077
100.0,False,1764923195450862928
100.0,False,1764923195470709062
100.0,False,1764923195490630778
100.0,False,1764923195510839357
100.0,False,1764923195530696752
100.0,False,1764923195550720469
100.0,False,1764923195570677348
100.0,False,1764923195590921867
100.0,False,1764923195610752123
100.0,False,1764923195630871096
100.0,False,1764923195650856680
100.0,False,1764923195670674239
100.0,False,1764923195690593243
100.0,False,1764923195710624112
100.0,False,1764923195730696942
100.0,False,1764923195751317612
100.0,False,1764923195770756341
100.0,False,1764923195790735112
100.0,False,1764923195810690165
100.0,False,1764923195831079886
100.0,False,1764923195851099316
100.0,False,1764923195870723125
100.0,False,1764923195890728704
100.0,False,1764923195910766426
100.0,False,1764923195930806373
100.0,False,1764923195950672271
100.0,False,1764923195970892871
100.0,False,1764923195990710651
100.0,False,1764923196010676758
100.0,False,1764923196030774580
100.0,False,1764923196051008954
100.0,False,1764923196070931915
100.0,False,1764923196090751353
100.0,False,1764923196110615068
100.0,False,1764923196130660946
100.0,False,1764923196150743590
100.0,False,1764923196170729199
100.0,False,1764923196190819242
100.0,False,1764923196211262727
100.0,False,1764923196230850460
100.0,False,1764923196250824293
100.0,False,1764923196270986462
100.0,False,1764923196290684354
100.0,False,1764923196310766804
100.0,False,1764923196331023169
100.0,False,1764923196351126096
100.0,False,1764923196370965052
100.0,False,1764923196390622353
100.0,False,1764923196410746112
100.0,False,1764923196430681799
100.0,False,1764923196450942559
100.0,False,1764923196470924499
100.0,False,1764923196490755185
100.0,False,1764923196510662344
100.0,False,1764923196530765616
100.0,False,1764923196550991577
100.0,False,1764923196570746290
100.0,False,1764923196590727356
100.0,False,1764923196611140311
100.0,False,1764923196630683236
100.0,False,1764923196650917062
100.0,False,1764923196670829860
100.0,False,1764923196690842904
100.0,False,1764923196710731573
100.0,False,1764923196730936474
100.0,False,1764923196751004307
100.0,False,1764923196770847107
100.0,False,1764923196790802813
100.0,False,1764923196810724892
100.0,False,1764923196830756325
100.0,False,1764923196850682247
100.0,False,1764923196871028356
100.0,False,1764923196890825232
100.0,False,1764923196910819031
100.0,False,1764923196930731699
100.0,False,1764923196951085211
100.0,False,1764923196970820182
100.0,False,1764923196990809197
100.0,False,1764923197010885977
100.0,False,1764923197030741270
100.0,False,1764923197051118652
100.0,False,1764923197070669707
100.0,False,1764923197090701798
100.0,False,1764923197110807372
100.0,False,1764923197131078189
100.0,False,1764923197151180494
100.0,False,1764923197170819278
100.0,False,1764923197190717340
100.0,False,1764923197210757915
100.0,False,1764923197230712937
100.0,False,1764923197250923561
100.0,False,1764923197270736215
100.0,False,1764923197291041692
100.0,False,1764923197310793593
100.0,False,1764923197331139102
100.0,False,1764923197350607500
100.0,False,1764923197370641192
100.0,False,1764923197390741166
100.0,False,1764923197410930011
100.0,False,1764923197430686724
100.0,False,1764923197451171282
100.0,False,1764923197470804891
100.0,False,1764923197490929689
100.0,False,1764923197510691687
100.0,False,1764923197530661086
100.0,False,1764923197550689020
100.0,False,1764923197570740136
100.0,False,1764923197590592190
100.0,False,1764923197610696374
100.0,False,1764923197630734742
100.0,False,1764923197650867203
100.0,False,1764923197670759560
100.0,False,1764923197690646375
100.0,False,1764923197710727050
100.0,False,1764923197730617911
100.0,False,1764923197750702353
100.0,False,1764923197770870377
100.0,False,1764923197790609565
100.0,False,1764923197810732955
