_header._stamp._sec,_header._stamp._nanosec,_header._stamp._check_fields,_header._frame_id,_header._check_fields,_child_frame_id,_pose._pose._position._x,_pose._pose._position._y,_pose._pose._position._z,_pose._pose._position._check_fields,_pose._pose._orientation._x,_pose._pose._orientation._y,_pose._pose._orientation._z,_pose._pose._orientation._w,_pose._pose._orientation._check_fields,_pose._pose._check_fields,_pose._covariance,_pose._check_fields,_twist._twist._linear._x,_twist._twist._linear._y,_twist._twist._linear._z,_twist._twist._linear._check_fields,_twist._twist._angular._x,_twist._twist._angular._y,_twist._twist._angular._z,_twist._twist._angular._check_fields,_twist._twist._check_fields,_twist._covariance,_twist._check_fields,_check_fields,timestamp
483,800000000,False,map,False,wamv/base_link,-511.3212440634412,193.83855827784345,-0.11344103529300292,False,-0.002673328834532648,0.004576382097364562,0.4745352155829553,0.8802205628201829,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.025142186309706334,-0.0015862317990500453,0.0012694959063106776,False,-0.005704841854953956,-0.004849732120808279,1.735439708088074e-05,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923193981424545
483,900000000,False,map,False,wamv/base_link,-511.31707394720024,193.84481257730064,-0.11316504949989732,False,-0.0024669624613998377,0.00398557790117363,0.47453862954966053,0.8802221982716284,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.096047241489184,7.562439935244992e-05,0.004385999567905486,False,8.726536930952488e-05,-0.0147582486149964,2.4702016413627146e-05,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923194156843320
484,0,False,map,False,wamv/base_link,-511.3093530746752,193.85675379148466,-0.11268255009191243,False,-0.0019155652789284302,0.0033865664828796227,0.47454060571149537,0.8802250140208958,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.16132024919408947,0.0014745429114169986,0.006607661505634477,False,0.00512256055338781,-0.015226388475740229,3.2992279133210576e-05,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923194322991529
484,100000000,False,map,False,wamv/base_link,-511.29826323293787,193.87382492980856,-0.11213661508202771,False,-0.0014752100628212174,0.0030454623233430655,0.4745413516487953,0.8802267063034626,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.22111460308710837,0.0009058850120731942,0.006756146389637901,False,0.0034790229744299794,-0.007414394727215107,1.7792594661179668e-05,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923194476478420
484,200000000,False,map,False,wamv/base_link,-511.28393955481613,193.89556301895666,-0.11182522096288017,False,-0.001500391826422282,0.003039363879511421,0.4745422497250751,0.880226200653809,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.276764351473534,-0.0006949315643982052,0.0037293525698801496,False,-0.002164483023667977,0.0033365978540535433,8.191507190902846e-06,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923194641415341
484,300000000,False,map,False,wamv/base_link,-511.26658448038233,193.92173123467927,-0.11201400992387571,False,-0.001908420720690931,0.003336490315096545,0.4745435685686696,0.880223623457609,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.3297575757262933,-0.001238464701005718,-0.0010744624445392747,False,-0.004625185671410943,0.011029407323687967,3.0264412757698697e-05,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923194807683942
484,400000000,False,map,False,wamv/base_link,-511.246437187835,193.95223948282768,-0.11265376852085594,False,-0.0023135243616687422,0.003821932794587307,0.4745441223247022,0.8802203794515437,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.38083669154389205,-0.0002243632187988209,-0.003932517664536874,False,-0.0012487838403198997,0.012286470100004963,4.379467986256697e-05,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923194974887054
484,500000000,False,map,False,wamv/base_link,-511.22366715648053,193.98695643917003,-0.11334430772689003,False,-0.002439892421099917,0.004284154263769895,0.4745433129367305,0.8802183462608865,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.42970042042548273,0.0008982983993406467,-0.0020626676374372013,False,0.0033141466579619527,0.007612290898470628,1.6815619014279275e-05,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923195142373898
484,600000000,False,map,False,wamv/base_link,-511.19835873109145,194.0256003737023,-0.11363757255032891,False,-0.0023375145761640455,0.004484900451899066,0.4745424636780673,0.8802180819887154,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.47539101600851746,0.000791821296656928,0.0035273479687678703,False,0.003380630257862484,0.000348186826633657,-9.22161062064566e-06,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923195295520834
484,700000000,False,map,False,wamv/base_link,-511.17062253227,194.06778325340278,-0.11340059871147679,False,-0.0022169923393931907,0.0043240097239686465,0.4745430210548769,0.880218898373004,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,0.5169515106534346,-0.00023949105174424129,0.008794652595964788,False,-0.0006984895157223466,-0.005519550507034987,5.662752533603833e-07,False,False,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",False,False,1764923195445789165
